country,unit,window_start,observation,rain_lag,train_frac,structure,params,true_a_temp,true_a_rain,a_temp_hat,a_temp_se,a_rain_hat,a_rain_se
BOLIVIA,BENI,2021-12-05,nb,7,0.75,hostvector_tempmort,alt,1.0,0.3,1.611362,1.068085,-0.306464,0.061175
BOLIVIA,BENI,2021-12-05,poisson,3,1.0,hostvector,central,1.0,0.3,1e-06,1.62095,0.310446,0.08614
BOLIVIA,BENI,2021-12-05,poisson,3,1.0,hostvector,alt,1.0,0.3,0.0,1.752247,0.370665,0.098602
BOLIVIA,BENI,2021-12-05,poisson,3,1.0,seir,central,1.0,0.3,0.0,1.938665,0.325056,0.102945
BOLIVIA,BENI,2021-12-05,poisson,3,1.0,seir,alt,1.0,0.3,0.0,2.101906,0.328668,0.109134
BOLIVIA,BENI,2021-12-05,poisson,3,1.0,hostvector_tempmort,central,1.0,0.3,0.0,1.083679,0.309681,0.086085
BOLIVIA,BENI,2021-12-05,poisson,3,1.0,hostvector_tempmort,alt,1.0,0.3,0.0,1.904168,0.369272,0.098358
BOLIVIA,BENI,2021-12-05,poisson,3,0.75,hostvector,central,1.0,0.3,0.022672,1.889617,0.346644,0.099724
BOLIVIA,BENI,2021-12-05,poisson,3,0.75,hostvector,alt,1.0,0.3,3e-06,2.224484,0.397982,0.114019
BOLIVIA,BENI,2021-12-05,poisson,3,0.75,seir,central,1.0,0.3,0.551814,2.31602,0.392536,0.126187
BOLIVIA,BENI,2021-12-05,poisson,3,0.75,seir,alt,1.0,0.3,0.803854,2.592298,0.394941,0.140494
BOLIVIA,BENI,2021-12-05,poisson,3,0.75,hostvector_tempmort,central,1.0,0.3,0.075022,1.893632,0.346378,0.099562
BOLIVIA,BENI,2021-12-05,poisson,3,0.75,hostvector_tempmort,alt,1.0,0.3,3e-06,2.218736,0.396843,0.113132
BOLIVIA,BENI,2021-12-05,poisson,5,1.0,hostvector,central,1.0,0.3,1.503388,2.224917,0.03227,0.117553
BOLIVIA,BENI,2021-12-05,poisson,5,1.0,hostvector,alt,1.0,0.3,2.355971,2.722962,0.036475,0.13908
BOLIVIA,BENI,2021-12-05,poisson,5,1.0,seir,central,1.0,0.3,1.251196,2.497876,-0.055975,0.121044
BOLIVIA,BENI,2021-12-05,poisson,5,1.0,seir,alt,1.0,0.3,1.533892,2.748774,-0.093103,0.122844
BOLIVIA,BENI,2021-12-05,poisson,5,1.0,hostvector_tempmort,central,1.0,0.3,1.561482,2.236261,0.030228,0.117349
BOLIVIA,BENI,2021-12-05,poisson,5,1.0,hostvector_tempmort,alt,1.0,0.3,2.417971,2.732138,0.033348,0.138595
BOLIVIA,BENI,2021-12-05,poisson,5,0.75,hostvector,central,1.0,0.3,1.694607,2.80714,0.034633,0.145476
